x_m,y_m,w_tr_right_m,w_tr_left_m
-6.56,4.83,0.7,0.7
-6.56,4.78,0.7,0.7
-6.56,4.73,0.7,0.7
-6.56,4.68,0.7,0.7
-6.56,4.63,0.7,0.7
-6.56,4.58,0.7,0.7
-6.56,4.53,0.7,0.7
-6.56,4.48,0.7,0.7
-6.56,4.43,0.7,0.7
-6.56,4.38,0.7,0.7
-6.56,4.33,0.7,0.7
-6.56,4.28,0.7,0.7
-6.56,4.23,0.7,0.7
-6.56,4.18,0.7,0.7
-6.56,4.13,0.7,0.7
-6.56,4.08,0.7,0.7
-6.56,4.03,0.7,0.7
-6.56,3.98,0.7,0.7
-6.56,3.93,0.7,0.7
-6.56,3.88,0.7,0.7
-6.56,3.83,0.7,0.7
-6.56,3.78,0.7,0.7
-6.56,3.73,0.7,0.7
-6.56,3.68,0.7,0.7
-6.56,3.63,0.7,0.7
-6.56,3.58,0.7,0.7
-6.56,3.53,0.7,0.7
-6.56,3.48,0.7018,0.7018
-6.56,3.43,0.7071,0.7071
-6.56,3.38,0.7159,0.7159
-6.56,3.33,0.728,0.728
-6.56,3.28,0.7433,0.7433
-6.56,3.23,0.75,0.75
-6.56,3.18,0.75,0.75
-6.56,3.13,0.75,0.75
-6.56,3.08,0.75,0.75
-6.56,3.03,0.75,0.75
-6.56,2.98,0.75,0.75
-6.56,2.93,0.75,0.75
-6.56,2.88,0.75,0.75
-6.56,2.83,0.75,0.75
-6.56,2.78,0.75,0.75
-6.56,2.73,0.75,0.75
-6.56,2.68,0.75,0.75
-6.56,2.63,0.75,0.75
-6.56,2.58,0.75,0.75
-6.56,2.53,0.75,0.75
-6.56,2.48,0.75,0.75
-6.56,2.43,0.75,0.75
-6.56,2.38,0.75,0.75
-6.56,2.33,0.75,0.75
-6.56,2.28,0.75,0.75
-6.56,2.23,0.75,0.75
-6.56,2.18,0.75,0.75
-6.56,2.13,0.75,0.75
-6.56,2.08,0.75,0.75
-6.56,2.03,0.75,0.75
-6.56,1.98,0.75,0.75
-6.56,1.93,0.75,0.75
-6.56,1.88,0.75,0.75
-6.56,1.83,0.75,0.75
-6.56,1.78,0.75,0.75
-6.56,1.73,0.75,0.75
