t,x,y,v
0.0,0.0425446,-0.187817,4.2
0.0599,0.293968,-0.170781,4.2
0.12,0.545485,-0.155201,4.2
0.1799,0.797199,-0.143276,4.2
0.24,1.04907,-0.13515,4.2
0.2998,1.30099,-0.129081,4.2
0.3601,1.55291,-0.122543,4.2
0.4201,1.8048,-0.115054,4.2
0.4799,2.05669,-0.107768,4.2
0.5399,2.30861,-0.101247,4.2
0.6,2.56055,-0.0959998,4.2
0.6598,2.81249,-0.090524,4.2
0.7199,3.06439,-0.0834326,4.2
0.78,3.31627,-0.0755885,4.2
0.8399,3.56815,-0.0679633,4.2
0.9,3.82004,-0.0603328,4.2
0.96,4.07187,-0.0510858,4.2
1.0199,4.3236,-0.0394683,4.2
1.0799,4.57527,-0.026635,4.2
1.1399,4.82689,-0.0128751,4.2
1.1999,5.07838,0.00321753,4.2
1.26,5.3295,0.0241278,4.2
1.3199,5.57999,0.0516632,4.2
1.3799,5.82956,0.0865232,4.2
1.4515,6.11146,0.134382,2.98345
1.5316,6.37842,0.197822,2.0364
1.6316,6.61726,0.296837,2.0
1.7515,6.82605,0.438582,2.23719
1.8714,7.0028,0.629114,2.50285
1.9799,7.12779,0.855104,3.3168
2.0798,7.21037,1.11693,3.0773
2.1715,7.22948,1.36785,2.54157
2.2714,7.16452,1.61333,2.45
2.38,7.00597,1.83108,2.45
2.4915,6.78595,1.98542,2.45
2.5999,6.54192,2.09964,2.45
2.7115,6.28961,2.19407,2.45
2.8201,6.02878,2.26395,2.64576
2.92,5.77909,2.31274,3.3513
3.0114,5.52599,2.3514,4.01744
3.0915,5.26893,2.38084,4.2
3.1715,4.9862,2.39934,4.2
3.24,4.72416,2.40106,4.2
3.3114,4.45338,2.38496,4.2
3.38,4.17763,2.35105,4.2
3.4515,3.89971,2.30042,4.2
3.5199,3.62102,2.23695,4.2
3.5914,3.34206,2.16458,4.2
3.6599,3.06264,2.08741,4.2
3.7315,2.78333,2.00553,4.2
3.8,2.50635,1.91925,3.62981
3.8714,2.2605,1.84355,2.76509
3.96,1.99708,1.79625,3.04826
4.0514,1.73512,1.82679,3.88456
4.1315,1.49154,1.91934,4.16722
4.2116,1.25147,2.07113,4.2
4.28,1.05332,2.24342,4.2
4.3515,0.86316,2.43754,4.2
4.4201,0.665252,2.63297,4.2
4.4916,0.447613,2.81332,4.2
4.5599,0.226112,2.9748,4.2
4.6314,0.00885562,3.13928,4.2
4.6998,-0.193394,3.31924,4.2
4.7799,-0.381469,3.53013,2.0
4.8599,-0.529729,3.75474,4.2
4.9399,-0.684079,3.9911,4.2
5.0115,-0.8551,4.18851,4.2
5.0799,-1.05968,4.36583,4.2
5.1515,-1.28132,4.5329,4.2
5.2199,-1.50258,4.7082,4.2
5.2915,-1.72107,4.89227,4.2
5.36,-1.93618,5.06809,3.02304
5.4399,-2.15578,5.21467,2.12952
5.5515,-2.40867,5.28811,1.80293
5.6915,-2.65482,5.22219,1.75
5.8399,-2.86384,5.06436,1.75
