x,y,v
0.264932,-0.002828,4.2
0.536871,-0.00782845,4.2
0.822885,-0.0130251,4.2
1.0764,-0.0163805,4.2
1.3569,-0.0195571,4.2
1.65755,-0.0226737,4.2
1.91976,-0.0244095,4.2
2.19014,-0.0249343,4.2
2.46693,-0.0245558,4.2
2.74873,-0.0233246,4.2
3.03446,-0.0206843,4.2
3.32325,-0.0163281,4.2
3.61441,-0.00982821,4.2
3.90741,-0.000874051,4.2
4.20179,0.0108007,4.2
4.49719,0.0258103,4.2
4.7932,0.0459398,4.2
5.08942,0.0723783,4.2
5.38544,0.106364,4.2
5.68063,0.149916,4.2
5.97405,0.205943,4.2
6.25988,0.277497,2.45
6.5176,0.366622,2.45
6.74361,0.485907,2.45
6.9631,0.676927,2.45
7.09086,0.900393,4.2
7.11056,1.15732,2.45
7.0381,1.41961,2.45
6.87938,1.65404,2.45
6.69181,1.83372,2.45
6.468,1.98207,2.45
6.22772,2.09455,2.45
5.98524,2.18029,2.45
5.73423,2.24577,4.2
5.48135,2.28802,4.2
5.21754,2.30252,4.2
4.92907,2.29723,4.2
4.67506,2.28148,4.2
4.41184,2.23,4.2
4.14156,2.18,4.2
3.8658,2.12,4.2
3.58561,2.05,4.2
3.30173,1.98,4.2
3.01458,1.9,4.2
2.72442,1.82,4.2
2.43958,1.72899,2.45
2.17769,1.7361,2.45
1.88959,1.9,4.2
1.65268,2.05,4.2
1.41824,2.25,4.2
1.18496,2.46342,4.2
0.952136,2.61742,4.2
0.720425,2.78103,4.2
0.490355,2.96,4.2
0.262791,3.15,4.2
0.0374661,3.35,4.2
-0.186736,3.55,4.2
-0.411073,3.75,4.2
-0.637593,3.95,4.2
-0.8678,4.15,4.2
-1.10218,4.35,4.2
-1.34013,4.55,4.2
-1.5803,4.75,4.2
-1.82152,4.95,4.2
-2.06198,5.05,1.75
-2.30198,5,1.75
-2.5198,4.67296,1.75
-2.65,4.35,1.75
-2.65,4,1.75
-2.50387,3.70344,1.75
-2.25,3.5,1.75
-1.9,3.3,1.75
-1.7,3,1.75
-1.70067,2.60407,1.75
-1.79067,2.35407,1.75
-1.99067,2.15407,1.75
-2.25067,2.05407,1.75
-2.52067,1.99407,1.75
-2.78067,1.98407,1.75
-3.04067,1.97407,1.75
-3.30067,1.98407,1.75
-3.56067,2.05407,1.75
-3.81067,2.16407,1.75
-4.21747,2.37536,1.75
-4.40227,2.56408,1.75
-4.525,2.78418,2.45
-4.62183,3.02037,4.2
-4.70287,3.27107,4.2
-4.77787,3.54111,4.2
-4.84439,3.8054,4.2
-4.91199,4.09224,4.2
-4.96902,4.34429,4.2
-5.02808,4.6051,4.2
-5.09149,4.87213,4.2
-5.16266,5.14231,2.45
-5.2443,5.39413,2.45
-5.36769,5.65201,2.45
-5.53862,5.85335,2.45
-5.77565,6.01349,2.45
-6.03855,6.06435,2.45
-6.2719,5.92693,2.45
-6.37732,5.68255,2.45
-6.44727,5.40639,4.2
-6.49639,5.13703,4.2
-6.53349,4.87141,4.2
-6.56352,4.58151,4.2
-6.58137,4.32577,4.2
-6.59253,4.06021,4.2
-6.59647,3.78706,4.2
-6.59278,3.5081,4.2
-6.58092,3.22483,4.2
-6.56038,2.93849,4.2
-6.5306,2.65015,4.2
-6.49114,2.36077,4.2
-6.44063,2.07138,4.2
-6.3773,1.78316,4.2
-6.29852,1.49769,4.2
-6.20213,1.22149,4.2
-6.08919,0.975563,4.2
-5.95025,0.764108,4.2
-5.77746,0.583064,4.2
-5.53988,0.419157,4.2
-5.30928,0.311839,4.2
-5.06097,0.221418,4.2
-4.80013,0.144293,4.2
-4.52976,0.0793809,4.2
-4.25198,0.0263381,4.2
-3.96853,0,4.2
-3.68085,0,4.2
-3.39008,0,4.2
-3.09703,0,4.2
-2.80233,0,4.2
-2.50644,0,4.2
-2.20963,0,4.2
-1.91213,0,4.2
-1.61407,0,4.2
-1.31558,0,4.2
-1.01676,0,4.2
-0.717688,0,4.2
-0.418413,0,4.2
-0.118981,0,4.2
0.180573,0,4.2
0.264932,-0.002828,4.2
